gene,TSS,end,start,UTR_length,utr_counts,sample
C0343,2818676,2818728,2818676,52,4,utRho01
aaeB,6776526,6776526,6776376,150,20,utRho01
aaeR,6778762,6779040,6778762,278,136,utRho01
aaeX,6778860,6778860,6778674,186,170,utRho01
aat,1854920,1854920,1854864,56,32,utRho01
accA,416822,417242,416822,420,2390,utRho01
accB,6810280,6810872,6810280,592,13076,utRho01
accD,4868030,4868030,4867852,178,740,utRho01
aceB,8430804,8430956,8430804,152,102,utRho01
aceE,245938,246034,245938,96,764,utRho01
ackA,4826918,4826940,4826918,22,2578,utRho01
acnA,2670848,2671662,2670848,814,840,utRho01
acnB,263038,263230,263038,192,1182,utRho01
acpP,2303148,2303230,2303148,82,244,utRho01
acpS,5402324,5402324,5401996,328,144,utRho01
acrA,971396,971396,971238,158,436,utRho01
acrB,969370,969370,968806,564,2634,utRho01
acrD,5174950,5175190,5174950,240,98,utRho01
acrE,6827404,6827728,6827404,324,0,utRho01
acrR,971398,971522,971398,124,262,utRho01
acrZ,1589502,1589546,1589502,44,0,utRho01
acs,8575190,8575190,8574742,448,70,utRho01
actP,8569870,8569870,8569804,66,0,utRho01
ada,4620854,4620854,4620810,44,48,utRho01
add,3404404,3404466,3404404,62,22,utRho01
ade,7687802,7687928,7687802,126,0,utRho01
adhE,2596826,2596826,2596242,584,96,utRho01
adhP,3107988,3107988,3107676,312,1158,utRho01
adiA,8681112,8681112,8681042,70,48,utRho01
adiC,8674404,8674404,8674062,342,18,utRho01
adiY,8676084,8676084,8675858,226,4,utRho01
adk,994278,994350,994278,72,184,utRho01
adrA,807374,807406,807374,32,0,utRho01
aer,6438240,6438240,6438152,88,0,utRho01
aes,1000102,1000102,999946,156,42,utRho01
agaR,6557406,6557406,6557330,76,0,utRho01
agaS,6563778,6563952,6563778,174,32,utRho01
agp,2131118,2131170,2131118,52,0,utRho01
agrA,7296126,7296126,7296126,0,0,utRho01
agrB,7296588,7296588,7296588,0,0,utRho01
